Time,Power
2.422880,68.88
2.422960,68.32
2.423040,68.88
2.423120,68.88
2.423200,68.88
2.423280,68.88
2.423360,68.88
2.423440,68.32
2.423520,68.88
2.423600,49.2
2.423680,48.8
2.423760,68.32
2.423840,68.88
2.423920,68.88
2.424000,68.88
2.424080,68.88
2.424160,68.88
2.424240,68.88
2.424320,68.88
2.424400,68.88
2.424480,48.8
2.424560,68.88
2.424640,68.88
2.424720,68.88
2.424800,49.2
2.424880,68.88
2.424960,68.88
2.425040,68.88
2.425120,68.88
2.425200,49.2
2.425280,49.2
2.425360,68.88
2.425440,68.88
2.425520,68.88
2.425600,68.88
2.425680,68.88
2.425760,68.88
2.425840,68.32
2.425920,68.88
2.426000,68.88
2.426080,68.32
2.426160,49.2
2.426240,68.88
2.426320,68.88
2.426400,68.88
2.426480,68.88
2.426560,68.88
2.426640,68.88
2.426720,68.88
2.426800,68.88
2.426880,68.88
2.426960,68.88
2.427040,68.88
2.427120,68.88
2.427200,49.2
2.427280,68.32
2.427360,68.88
2.427440,88.56
2.427520,88.56
2.427600,68.88
2.427680,68.88
2.427760,68.88
2.427840,68.88
2.427920,68.88
2.428000,68.32
2.428080,68.88
2.428160,68.88
2.428240,68.88
2.428320,68.88
2.428400,68.32
2.428480,68.88
2.428560,68.88
2.428640,68.88
2.428720,68.88
2.428800,68.88
2.428880,68.88
2.428960,68.88
2.429040,88.56
2.429120,68.32
2.429200,68.88
2.429280,49.2
2.429360,68.88
2.429440,68.88
2.429520,68.88
2.429600,88.56
2.429680,68.88
2.429760,68.88
2.429840,68.88
2.429920,68.88
2.430000,68.88
2.430080,88.56
2.430160,68.88
2.430240,68.32
2.430320,68.32
2.430400,68.88
2.430480,49.2
2.430560,68.88
2.430640,68.88
2.430720,68.32
2.430800,68.32
2.430880,68.88
2.430960,68.88
2.431040,49.2
2.431120,68.88
2.431200,68.88
2.431280,68.88
2.431360,68.88
2.431440,68.32
2.431520,68.88
2.431600,68.88
2.431680,68.88
2.431760,68.88
2.431840,68.88
2.431920,68.88
2.432000,68.88
2.432080,68.88
2.432160,68.88
2.432240,68.88
2.432320,68.88
2.432400,88.56
2.432480,68.88
2.432560,48.8
2.432640,68.88
2.432720,68.32
2.432800,68.88
2.432880,68.88
2.432960,68.88
2.433040,68.32
2.433120,68.88
2.433200,68.88
2.433280,68.88
2.433360,68.32
2.433440,68.88
2.433520,68.88
2.433600,68.32
2.433680,68.32
2.433760,68.88
2.433840,68.32
2.433920,68.88
